Evento   # na fila  Tempo Global Tempo com 0..1 pessoas na fila
CHEGADA  1          59.999996    [59.999996, 0.0]
SAIDA    0          72.0         [59.999996, 12.000004]
CHEGADA  1          119.99999    [107.999985, 12.000004]
SAIDA    0          132.0        [107.999985, 24.000011]
CHEGADA  1          179.99998    [155.99997, 24.000011]
SAIDA    0          191.99998    [155.99997, 36.00001]
CHEGADA  1          239.99998    [203.99997, 36.00001]
SAIDA    0          251.99998    [203.99997, 48.00001]
CHEGADA  1          299.99997    [251.99995, 48.00001]
SAIDA    0          311.99997    [251.99995, 60.00001]
CHEGADA  1          359.99997    [299.99994, 60.00001]
SAIDA    0          371.99997    [299.99994, 72.000015]
CHEGADA  1          419.99997    [347.99994, 72.000015]
SAIDA    0          431.99997    [347.99994, 84.000015]
CHEGADA  1          479.99997    [395.99994, 84.000015]
SAIDA    0          491.99997    [395.99994, 96.000015]
CHEGADA  1          539.99994    [443.9999, 96.000015]
SAIDA    0          551.99994    [443.9999, 108.000015]
CHEGADA  1          599.99994    [491.9999, 108.000015]
SAIDA    0          611.99994    [491.9999, 120.000015]
CHEGADA  1          659.99994    [539.9999, 120.000015]
SAIDA    0          671.99994    [539.9999, 132.00002]
CHEGADA  1          719.99994    [587.9999, 132.00002]
SAIDA    0          731.99994    [587.9999, 144.00002]
CHEGADA  1          779.99994    [635.9999, 144.00002]
SAIDA    0          791.99994    [635.9999, 156.00002]
CHEGADA  1          839.99994    [683.9999, 156.00002]
SAIDA    0          851.99994    [683.9999, 168.00002]
CHEGADA  1          899.99994    [731.9999, 168.00002]
SAIDA    0          911.99994    [731.9999, 180.00002]
CHEGADA  1          959.99994    [779.9999, 180.00002]
SAIDA    0          971.99994    [779.9999, 192.00002]
CHEGADA  1          1019.99994   [827.9999, 192.00002]
Fim da simulacao.

